rrn,rrn1
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,860
860,856
856,856
856,856
856,856
1288,1282
1282,1282
1282,1282
1282,1282
1282,1288
1288,1282
1282,1282
1282,1282
1282,1288
1288,1282
1282,1282
1282,1282
1282,1282
1282,1288
1288,1282
1282,1282
1282,1282
1282,1288
1288,1282
1282,1282
1282,1282
1282,1282
1282,1282
1282,1282
1282,1282
1282,1288
1288,1282
1282,1282
1282,1282
1282,1288
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
860,860
860,864
864,860
860,860
